message,beginLine,endLine,beginColumn,endColumn,rule,ruleset,classified_rule,className,methodName,variable,priority
Comment is too large: Too many lines,1,10,1,3,CommentSize,Documentation,METRIC,AstBuilderListener,,,3
A high number of imports can indicate a high degree of coupling within an object.,11,1301,1,3,ExcessiveImports,Design,METRIC,AstBuilderListener,,,3
This class has a bunch of public methods and attributes,11,1301,1,3,ExcessivePublicCount,Design,METRIC,AstBuilderListener,,,3
Avoid really long classes.,115,1301,8,1,ExcessiveClassLength,Design,METRIC,AstBuilderListener,,,3
"Possible God Class (WMC=48, ATFD=6, TCC=27.405%)",115,1301,8,1,GodClass,Design,METRIC,AstBuilderListener,,,3
"This class has too many methods, consider refactoring it.",115,1301,59,1,TooManyMethods,Design,METRIC,AstBuilderListener,,,3
Avoid excessively long variable names like DIFFERS_SERVICE_NAME,130,130,36,55,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,DIFFERS_SERVICE_NAME,3
Avoid excessively long variable names like EQUALS_SERVICE_NAME,140,140,36,54,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,EQUALS_SERVICE_NAME,3
Avoid excessively long variable names like GREATER_THAN_EQUAL_SERVICE_NAME,150,150,36,66,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,GREATER_THAN_EQUAL_SERVICE_NAME,3
Avoid excessively long variable names like GREATER_THAN_EQUAL_OPERATOR,155,155,36,62,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,GREATER_THAN_EQUAL_OPERATOR,3
Avoid excessively long variable names like GREATER_THAN_SERVICE_NAME,160,160,36,60,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,GREATER_THAN_SERVICE_NAME,3
Avoid excessively long variable names like GREATER_THAN_OPERATOR,165,165,36,56,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,GREATER_THAN_OPERATOR,3
Avoid excessively long variable names like LESS_THAN_EQUAL_SERVICE_NAME,170,170,36,63,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,LESS_THAN_EQUAL_SERVICE_NAME,3
Avoid excessively long variable names like LESS_THAN_EQUAL_OPERATOR,175,175,36,59,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,LESS_THAN_EQUAL_OPERATOR,3
Avoid excessively long variable names like LESS_THAN_SERVICE_NAME,180,180,36,57,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,LESS_THAN_SERVICE_NAME,3
Avoid excessively long variable names like LESS_THAN_OPERATOR,185,185,36,53,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,LESS_THAN_OPERATOR,3
Avoid excessively long variable names like UNARY_MIN_SERVICE_NAME,230,230,36,57,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,UNARY_MIN_SERVICE_NAME,3
Avoid excessively long variable names like UNARY_MIN_OPERATOR,235,235,36,53,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,UNARY_MIN_OPERATOR,3
Avoid excessively long variable names like IMPLIES_SERVICE_NAME,270,270,36,55,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,IMPLIES_SERVICE_NAME,3
Avoid excessively long variable names like OPERATOR_SERVICE_NAMES,280,280,41,62,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,OPERATOR_SERVICE_NAMES,3
Avoid excessively long variable names like THIS_SHOULDN_T_HAPPEN,285,285,37,57,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener,,THIS_SHOULDN_T_HAPPEN,3
Each class should declare at least one constructor,292,422,23,9,AtLeastOneConstructor,Code Style,INTERFACE,AstBuilderListener,,,3
Avoid really long methods.,294,421,24,17,ExcessiveMethodLength,Design,METRIC,AstBuilderListener$QueryErrorListener,syntaxError,,3
Parameter 'offendingSymbol' is not assigned and could be declared final,294,294,79,110,MethodArgumentCouldBeFinal,Code Style,BEST_PRACTICE,AstBuilderListener$QueryErrorListener,syntaxError,offendingSymbol,3
Parameter 'recognizer' is not assigned and could be declared final,294,294,41,76,MethodArgumentCouldBeFinal,Code Style,BEST_PRACTICE,AstBuilderListener$QueryErrorListener,syntaxError,recognizer,3
"The method 'syntaxError(Recognizer, Object, int, int, String, RecognitionException)' has a NCSS line count of 110.",294,421,24,17,NcssCount,Design,NcssCount,AstBuilderListener$QueryErrorListener,syntaxError,,3
"The method 'syntaxError(Recognizer, Object, int, int, String, RecognitionException)' has a cyclomatic complexity of 16.",294,421,24,17,CyclomaticComplexity,Design,METRIC,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid excessively long variable names like charPositionInLine,295,295,47,64,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener$QueryErrorListener,syntaxError,charPositionInLine,3
Avoid variables with short names like e,295,295,119,119,ShortVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener$QueryErrorListener,syntaxError,e,3
Parameter 'charPositionInLine' is not assigned and could be declared final,295,295,43,64,MethodArgumentCouldBeFinal,Code Style,BEST_PRACTICE,AstBuilderListener$QueryErrorListener,syntaxError,charPositionInLine,3
Parameter 'e' is not assigned and could be declared final,295,295,88,119,MethodArgumentCouldBeFinal,Code Style,BEST_PRACTICE,AstBuilderListener$QueryErrorListener,syntaxError,e,3
Parameter 'line' is not assigned and could be declared final,295,295,33,40,MethodArgumentCouldBeFinal,Code Style,BEST_PRACTICE,AstBuilderListener$QueryErrorListener,syntaxError,line,3
