TOT_LINES,BLANK_LINES,COMMENTS,EMBEDDED,COMPILER_DIRECT,DATA_DECL,EXEC_INSTR,LOGIC_SLOC,PHYS_SLOC,CC1_TOT,CC1_AVG,fileName,changeId,patchId,patchRef,DOCUMENTATION_CONVENTIONS,REGULAR_EXPRESSIONS,METRIC,STYLE_CONVENTIONS,BEST_PRACTICE,LOGIC,NAMING_CONVENTIONS,RESOURCE,CONCURRENCY,OBJECT_ORIENTED_DESING,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,PATCH_LINES_ADD,PATCH_LINES_DEL,0,1,2,3,4,labels,INTERFACE,REFACTORINGS_REDUNDANCIES,NREV,NAUTH,LOC_ADD,LOC_ADD_TOT,LOC_ADD_MAX,LOC_ADD_MIN,LOC_ADD_AVG,LOC_DEL,LOC_DEL_TOT,LOC_DEL_MAX,LOC_DEL_MIN,LOC_DEL_AVG,CODE_CHURN,CODE_CHURN_TOT,CODE_CHURN_MAX,CODE_CHURN_MIN,CODE_CHURN_AVG,AGE,ERROR_HANDLING,METHOD_ALTERNATIVE_PART_INSERT,MEDIUM,METHOD_STATEMENT_DELETE,METHOD_ALTERNATIVE_PART_DELETE,METHOD_COMMENT_DELETE,NONE,METHOD_STATEMENT_PARENT_CHANGE,NcssCount,AccessorMethodGeneration
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/delegates/AQLSettingDelegate.java,I0423078bc4de01ee268e86d035bb5cc703c9e324,051e2f8c13515aa5e65634a3cd718576755de509,refs/changes/20/70120/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/delegates/AQLSettingDelegate.java,I0423078bc4de01ee268e86d035bb5cc703c9e324,051e2f8c13515aa5e65634a3cd718576755de509,refs/changes/20/70120/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/delegates/AQLSettingDelegate.java,I0423078bc4de01ee268e86d035bb5cc703c9e324,051e2f8c13515aa5e65634a3cd718576755de509,refs/changes/20/70120/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/delegates/AQLSettingDelegate.java,I0423078bc4de01ee268e86d035bb5cc703c9e324,051e2f8c13515aa5e65634a3cd718576755de509,refs/changes/20/70120/1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/delegates/AQLSettingDelegate.java,I0423078bc4de01ee268e86d035bb5cc703c9e324,051e2f8c13515aa5e65634a3cd718576755de509,refs/changes/20/70120/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/delegates/AQLSettingDelegate.java,I0423078bc4de01ee268e86d035bb5cc703c9e324,051e2f8c13515aa5e65634a3cd718576755de509,refs/changes/20/70120/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/delegates/AQLSettingDelegate.java,I0423078bc4de01ee268e86d035bb5cc703c9e324,051e2f8c13515aa5e65634a3cd718576755de509,refs/changes/20/70120/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/delegates/AQLSettingDelegate.java,I0423078bc4de01ee268e86d035bb5cc703c9e324,051e2f8c13515aa5e65634a3cd718576755de509,refs/changes/20/70120/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['documentation', 'structure']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plugins/org.eclipse.acceleo.equinox.launcher/src/org/eclipse/acceleo/equinox/internal/EMFCodeGenRunner.java,I85a4749b6ccf921d6f62a6357a36cd17dbebae5d,7fd9718d53df1700476506226d05bd6fac89a29a,refs/changes/27/54427/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,plugins/org.eclipse.acceleo.equinox.launcher/src/org/eclipse/acceleo/equinox/internal/EMFCodeGenRunner.java,I85a4749b6ccf921d6f62a6357a36cd17dbebae5d,7fd9718d53df1700476506226d05bd6fac89a29a,refs/changes/27/54427/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
